fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.230329	1	16	1	989753	11635	91822246.3768116	91822246.3768116
20241113.230332	1	16	1	609751	12186	90238689.6551724	90238689.6551724
20241113.230335	1	16	1	417511	13061	91801445.7771114	91801445.7771114
20241113.230337	1	16	1	243553	11464	92934028.9855072	92934028.9855072
20241113.230340	1	16	1	843131	12323	91656821.0894553	91656821.0894553
20241113.230342	1	16	1	577463	12558	94120026.9865067	94120026.9865067
20241113.230344	1	16	1	761977	13603	91090104.4477761	91090104.4477761
20241113.230347	1	16	1	649277	13083	89660999.0004998	89660999.0004998
20241113.230349	1	16	1	495413	11315	93857808.5957021	93857808.5957021
20241113.230352	1	16	1	244129	12252	92140247.876062	92140247.876062
20241113.230354	1	16	1	911089	12189	91655890.5547226	91655890.5547226
20241113.230357	1	16	1	257293	12311	91611385.8070965	91611385.8070965
20241113.230359	1	16	1	371587	13425	92354155.4222888	92354155.4222888
20241113.230402	1	16	1	457183	12499	90286150.4247876	90286150.4247876
20241113.230404	1	16	1	272227	13070	89767671.1644178	89767671.1644178
20241113.230407	1	16	1	980081	10763	93098240.3798101	93098240.3798101
20241113.230409	1	16	1	231919	10605	92973695.6521739	92973695.6521739
20241113.230412	1	16	1	254729	11134	91670215.892054	91670215.892054
20241113.230414	1	16	1	393013	14100	90437551.2243878	90437551.2243878
20241113.230416	1	16	1	974891	12308	90904329.8350825	90904329.8350825
20241113.230418	1	16	20	-1	12337	91374260.3698151	91374260.3698151
