fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241117.213802	1	17	1	989753	10520	90746446.7766117	90746446.7766117
20241117.213806	1	17	1	609751	11882	93777744.127936	93777744.127936
20241117.213808	1	17	1	417511	11536	96031268.3658171	96031268.3658171
20241117.213811	1	17	1	243553	13463	95177950.5247376	95177950.5247376
20241117.213813	1	17	1	843131	12060	100858980.509745	100858980.509745
20241117.213815	1	17	1	577463	9913	93260594.2028985	93260594.2028985
20241117.213818	1	17	1	761977	11838	94829192.4037981	94829192.4037981
20241117.213820	1	17	1	649277	9458	92692810.5947026	92692810.5947026
20241117.213823	1	17	1	495413	10666	94404406.7966017	94404406.7966017
20241117.213825	1	17	1	244129	11817	99340890.0549725	99340890.0549725
20241117.213828	1	17	1	911089	12057	91965597.7011494	91965597.7011494
20241117.213830	1	17	1	257293	9828	94231166.4167916	94231166.4167916
20241117.213833	1	17	1	371587	10588	99154324.8375812	99154324.8375812
20241117.213835	1	17	1	457183	12243	93688185.4072963	93688185.4072963
20241117.213837	1	17	1	272227	9739	91233756.6216892	91233756.6216892
20241117.213840	1	17	1	980081	11188	95160581.7091454	95160581.7091454
20241117.213842	1	17	1	231919	10909	94402577.2113943	94402577.2113943
20241117.213845	1	17	1	254729	13576	96129219.3903048	96129219.3903048
20241117.213847	1	17	1	393013	10362	96858163.918041	96858163.918041
20241117.213849	1	17	1	974891	12206	95209494.2528736	95209494.2528736
20241117.213851	1	17	20	-1	11577	94358653.1734133	94358653.1734133
