fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241118.162821	1	32	1	989753	11957	94149975.5122439	94149975.5122439
20241118.162825	1	32	1	609751	11453	93519114.9425287	93519114.9425287
20241118.162828	1	32	1	417511	11908	93854474.7626187	93854474.7626187
20241118.162830	1	32	1	243553	13869	93892532.2338831	93892532.2338831
20241118.162833	1	32	1	843131	9688	95249927.0364818	95249927.0364818
20241118.162835	1	32	1	577463	10707	95968681.1594203	95968681.1594203
20241118.162838	1	32	1	761977	12814	94133404.2978511	94133404.2978511
20241118.162840	1	32	1	649277	10792	94649823.0884558	94649823.0884558
20241118.162843	1	32	1	495413	11513	96244042.4787606	96244042.4787606
20241118.162845	1	32	1	244129	10151	92551995.5022489	92551995.5022489
20241118.162848	1	32	1	911089	11200	95675902.0489755	95675902.0489755
20241118.162851	1	32	1	257293	9931	93564459.2703648	93564459.2703648
20241118.162853	1	32	1	371587	12006	95638659.6701649	95638659.6701649
20241118.162856	1	32	1	457183	9946	92660178.9105447	92660178.9105447
20241118.162858	1	32	1	272227	9966	92799059.4702649	92799059.4702649
20241118.162901	1	32	1	980081	10484	94907252.3738131	94907252.3738131
20241118.162903	1	32	1	231919	12487	94448131.4342829	94448131.4342829
20241118.162906	1	32	1	254729	11135	96128383.3083458	96128383.3083458
20241118.162909	1	32	1	393013	12545	93622201.3993004	93622201.3993004
20241118.162911	1	32	1	974891	11268	94370536.7316342	94370536.7316342
20241118.162913	1	32	20	-1	11155	94015537.7311344	94015537.7311344
