fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.055142	1	41	1	989753	10467	100635207.896052	100635207.896052
20241114.055146	1	41	1	609751	10582	100722121.93903	100722121.93903
20241114.055149	1	41	1	417511	11069	99406615.1924038	99406615.1924038
20241114.055151	1	41	1	243553	14872	100749793.103448	100749793.103448
20241114.055154	1	41	1	843131	11003	100311353.823088	100311353.823088
20241114.055156	1	41	1	577463	10255	100150112.443778	100150112.443778
20241114.055159	1	41	1	761977	10469	100254731.134433	100254731.134433
20241114.055201	1	41	1	649277	14047	98851029.9850075	98851029.9850075
20241114.055204	1	41	1	495413	10403	98386896.051974	98386896.051974
20241114.055206	1	41	1	244129	13033	102013497.751124	102013497.751124
20241114.055209	1	41	1	911089	11884	100675588.205897	100675588.205897
20241114.055211	1	41	1	257293	10711	101302240.37981	101302240.37981
20241114.055214	1	41	1	371587	13097	101117301.849075	101117301.849075
20241114.055216	1	41	1	457183	11837	101382679.16042	101382679.16042
20241114.055219	1	41	1	272227	10781	99390271.3643178	99390271.3643178
20241114.055221	1	41	1	980081	9991	99762870.0649675	99762870.0649675
20241114.055224	1	41	1	231919	10637	99633553.7231384	99633553.7231384
20241114.055226	1	41	1	254729	10597	100694923.038481	100694923.038481
20241114.055229	1	41	1	393013	10888	100904639.68016	100904639.68016
20241114.055231	1	41	1	974891	14623	99521238.8805597	99521238.8805597
20241114.055233	1	41	20	-1	10727	99834885.0574713	99834885.0574713
