fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.014521	1	42	1	989753	11437	95709075.962019	95709075.962019
20241114.014525	1	42	1	609751	11541	98375918.5407296	98375918.5407296
20241114.014528	1	42	1	417511	11381	98660396.3018491	98660396.3018491
20241114.014530	1	42	1	243553	12164	93401045.4772614	93401045.4772614
20241114.014533	1	42	1	843131	11498	96781006.4967516	96781006.4967516
20241114.014535	1	42	1	577463	11993	96652358.3208396	96652358.3208396
20241114.014537	1	42	1	761977	11338	96544524.7376312	96544524.7376312
20241114.014540	1	42	1	649277	11871	96052485.2573713	96052485.2573713
20241114.014542	1	42	1	495413	12131	93943809.5952024	93943809.5952024
20241114.014544	1	42	1	244129	11019	98030298.3508246	98030298.3508246
20241114.014547	1	42	1	911089	12551	93864679.1604198	93864679.1604198
20241114.014549	1	42	1	257293	12581	97127882.5587206	97127882.5587206
20241114.014552	1	42	1	371587	12267	93882184.4077961	93882184.4077961
20241114.014554	1	42	1	457183	12012	94584965.5172414	94584965.5172414
20241114.014556	1	42	1	272227	11841	97308182.4087956	97308182.4087956
20241114.014559	1	42	1	980081	10234	98472144.9275362	98472144.9275362
20241114.014601	1	42	1	231919	12542	95851017.4912544	95851017.4912544
20241114.014604	1	42	1	254729	10151	93855583.7081459	93855583.7081459
20241114.014606	1	42	1	393013	11299	96275155.922039	96275155.922039
20241114.014609	1	42	1	974891	10586	93322047.976012	93322047.976012
20241114.014611	1	42	20	-1	11657	95648780.109945	95648780.109945
