fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241115.144125	1	46	1	989753	10940	76545017.4912544	76545017.4912544
20241115.144129	1	46	1	609751	10626	77466155.922039	77466155.922039
20241115.144131	1	46	1	417511	10368	77231976.011994	77231976.011994
20241115.144134	1	46	1	243553	10629	78012432.2838581	78012432.2838581
20241115.144137	1	46	1	843131	10788	77676043.978011	77676043.978011
20241115.144139	1	46	1	577463	11041	78132450.2748626	78132450.2748626
20241115.144142	1	46	1	761977	10321	79353899.5502249	79353899.5502249
20241115.144144	1	46	1	649277	10658	77739887.0564718	77739887.0564718
20241115.144147	1	46	1	495413	11325	78978873.0634683	78978873.0634683
20241115.144149	1	46	1	244129	9973	80924152.4237881	80924152.4237881
20241115.144152	1	46	1	911089	12386	77543957.0214893	77543957.0214893
20241115.144154	1	46	1	257293	11955	77220267.3663168	77220267.3663168
20241115.144157	1	46	1	371587	10513	76860794.1029485	76860794.1029485
20241115.144200	1	46	1	457183	10384	81004153.9230385	81004153.9230385
20241115.144202	1	46	1	272227	9149	77865505.7471264	77865505.7471264
20241115.144205	1	46	1	980081	11747	77829130.9345327	77829130.9345327
20241115.144208	1	46	1	231919	10781	75795268.8655672	75795268.8655672
20241115.144210	1	46	1	254729	9593	78256456.2718641	78256456.2718641
20241115.144213	1	46	1	393013	11554	76533074.4627686	76533074.4627686
20241115.144215	1	46	1	974891	10261	78966783.1084458	78966783.1084458
20241115.144217	1	46	20	-1	10620	77698005.9970015	77698005.9970015
