fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.231732	1	37	1	989753	10021	96534579.2103948	96534579.2103948
20241113.231736	1	37	1	609751	11985	97887548.7256372	97887548.7256372
20241113.231738	1	37	1	417511	12601	97595738.6306847	97595738.6306847
20241113.231741	1	37	1	243553	12096	98753327.3363318	98753327.3363318
20241113.231743	1	37	1	843131	11446	97208254.8725637	97208254.8725637
20241113.231746	1	37	1	577463	9826	99880708.6456772	99880708.6456772
20241113.231748	1	37	1	761977	11655	98400427.2863568	98400427.2863568
20241113.231751	1	37	1	649277	14654	97768786.6066967	97768786.6066967
20241113.231753	1	37	1	495413	10389	97942387.3063468	97942387.3063468
20241113.231756	1	37	1	244129	10687	98337486.7566217	98337486.7566217
20241113.231758	1	37	1	911089	12526	95795941.0294853	95795941.0294853
20241113.231801	1	37	1	257293	10862	97171817.0914543	97171817.0914543
20241113.231804	1	37	1	371587	11308	100545789.105447	100545789.105447
20241113.231806	1	37	1	457183	10493	97702183.4082959	97702183.4082959
20241113.231808	1	37	1	272227	12006	97370713.6431784	97370713.6431784
20241113.231811	1	37	1	980081	10999	97560343.3283358	97560343.3283358
20241113.231814	1	37	1	231919	11020	95736841.5792104	95736841.5792104
20241113.231816	1	37	1	254729	12124	97312789.6051974	97312789.6051974
20241113.231819	1	37	1	393013	10707	95949370.8145927	95949370.8145927
20241113.231821	1	37	1	974891	10973	99394217.3913043	99394217.3913043
20241113.231823	1	37	20	-1	11514	97317176.4117941	97317176.4117941
