fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241115.172509	1	55	1	989753	12424	95953999.0004998	95953999.0004998
20241115.172512	1	55	1	609751	12407	95881154.9225387	95881154.9225387
20241115.172515	1	55	1	417511	12118	98098237.8810595	98098237.8810595
20241115.172517	1	55	1	243553	10917	95024818.0909545	95024818.0909545
20241115.172520	1	55	1	843131	10684	95154648.6756622	95154648.6756622
20241115.172522	1	55	1	577463	11726	97483777.1114443	97483777.1114443
20241115.172525	1	55	1	761977	11320	96377371.3143428	96377371.3143428
20241115.172527	1	55	1	649277	11329	96417219.890055	96417219.890055
20241115.172530	1	55	1	495413	11749	94519278.8605697	94519278.8605697
20241115.172532	1	55	1	244129	12825	95223140.9295352	95223140.9295352
20241115.172535	1	55	1	911089	11445	95912646.1769115	95912646.1769115
20241115.172537	1	55	1	257293	11901	97720626.1869065	97720626.1869065
20241115.172540	1	55	1	371587	10645	96264570.2148926	96264570.2148926
20241115.172542	1	55	1	457183	10163	94721988.5057471	94721988.5057471
20241115.172545	1	55	1	272227	10930	94915907.0464768	94915907.0464768
20241115.172547	1	55	1	980081	14433	96710289.3553223	96710289.3553223
20241115.172550	1	55	1	231919	13254	96304418.7906047	96304418.7906047
20241115.172552	1	55	1	254729	10067	94658516.2418791	94658516.2418791
20241115.172555	1	55	1	393013	11989	98775950.5247376	98775950.5247376
20241115.172557	1	55	1	974891	13440	95851094.4527736	95851094.4527736
20241115.172559	1	55	20	-1	11846	95600703.6481759	95600703.6481759
