fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241117.191619	1	48	1	989753	9181	97846843.0784608	97846843.0784608
20241117.191623	1	48	1	609751	11312	99411082.4587706	99411082.4587706
20241117.191625	1	48	1	417511	11764	99495558.2208896	99495558.2208896
20241117.191628	1	48	1	243553	10517	98358791.1044478	98358791.1044478
20241117.191631	1	48	1	843131	9951	98178162.4187906	98178162.4187906
20241117.191633	1	48	1	577463	10701	97178397.3013493	97178397.3013493
20241117.191635	1	48	1	761977	10276	98045071.4642679	98045071.4642679
20241117.191638	1	48	1	649277	10170	98760064.9675162	98760064.9675162
20241117.191641	1	48	1	495413	9897	97862389.3053473	97862389.3053473
20241117.191643	1	48	1	244129	11983	99472823.0884558	99472823.0884558
20241117.191646	1	48	1	911089	11698	99178847.5762119	99178847.5762119
20241117.191649	1	48	1	257293	10952	100305095.452274	100305095.452274
20241117.191651	1	48	1	371587	10639	100895855.572214	100895855.572214
20241117.191654	1	48	1	457183	10460	99868415.7921039	99868415.7921039
20241117.191656	1	48	1	272227	11568	99665419.2903548	99665419.2903548
20241117.191659	1	48	1	980081	10521	99254749.1254373	99254749.1254373
20241117.191702	1	48	1	231919	10208	98672895.5522239	98672895.5522239
20241117.191705	1	48	1	254729	9796	97482692.6536732	97482692.6536732
20241117.191707	1	48	1	393013	10490	99000604.6976512	99000604.6976512
20241117.191710	1	48	1	974891	11134	99606487.7561219	99606487.7561219
20241117.191712	1	48	20	-1	10828	98604714.6426787	98604714.6426787
