fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.151826	1	28	1	989753	10408	94289867.0664668	94289867.0664668
20241113.151830	1	28	1	609751	12401	94226503.2483758	94226503.2483758
20241113.151832	1	28	1	417511	13661	93657757.6211894	93657757.6211894
20241113.151835	1	28	1	243553	11585	94804050.4747626	94804050.4747626
20241113.151838	1	28	1	843131	11532	95894710.6446777	95894710.6446777
20241113.151840	1	28	1	577463	11942	92680762.6186907	92680762.6186907
20241113.151843	1	28	1	761977	11169	94038549.2253873	94038549.2253873
20241113.151846	1	28	1	649277	12869	93182947.0264868	93182947.0264868
20241113.151848	1	28	1	495413	11167	96824143.4282859	96824143.4282859
20241113.151852	1	28	1	244129	11417	93728156.4217891	93728156.4217891
20241113.151855	1	28	1	911089	11297	93261769.6151924	93261769.6151924
20241113.151857	1	28	1	257293	11427	91644843.0784608	91644843.0784608
20241113.151900	1	28	1	371587	14091	92784069.4652674	92784069.4652674
20241113.151902	1	28	1	457183	12043	94617180.9095452	94617180.9095452
20241113.151905	1	28	1	272227	9942	94803081.4592704	94803081.4592704
20241113.151907	1	28	1	980081	14496	93401983.0084957	93401983.0084957
20241113.151910	1	28	1	231919	11388	94134614.6926537	94134614.6926537
20241113.151913	1	28	1	254729	11794	95505068.4657671	95505068.4657671
20241113.151915	1	28	1	393013	10768	94554894.5527236	94554894.5527236
20241113.151918	1	28	1	974891	15014	94424598.7006497	94424598.7006497
20241113.151920	1	28	20	-1	11507	93406919.0404798	93406919.0404798
