fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241111.124355	1	45	1	989753	10503	95815471.7641179	95815471.7641179
20241111.124449	1	45	1	609751	11320	95038380.8095952	95038380.8095952
20241111.124533	1	45	1	417511	11378	95504004.9975013	95504004.9975013
20241111.124617	1	45	1	243553	11296	94936035.982009	94936035.982009
20241111.124700	1	45	1	843131	9275	96220247.3763118	96220247.3763118
20241111.124744	1	45	1	577463	9308	94897653.1734133	94897653.1734133
20241111.124827	1	45	1	761977	9638	95370301.8490755	95370301.8490755
20241111.124911	1	45	1	649277	11604	95219016.4917541	95219016.4917541
20241111.124955	1	45	1	495413	10846	94524816.5917041	94524816.5917041
20241111.125038	1	45	1	244129	10719	97621632.6836582	97621632.6836582
20241111.125122	1	45	1	911089	10837	96564608.195902	96564608.195902
20241111.125206	1	45	1	257293	9933	96142663.1684158	96142663.1684158
20241111.125249	1	45	1	371587	12109	96370693.1534233	96370693.1534233
20241111.125333	1	45	1	457183	12589	95521877.5612194	95521877.5612194
20241111.125416	1	45	1	272227	10733	96386701.1494253	96386701.1494253
20241111.125500	1	45	1	980081	11024	97207492.2538731	97207492.2538731
20241111.125544	1	45	1	231919	10748	94965799.1004498	94965799.1004498
20241111.125627	1	45	1	254729	12616	95326020.9895052	95326020.9895052
20241111.125711	1	45	1	393013	12590	94556496.7516242	94556496.7516242
20241111.125754	1	45	1	974891	12525	94625849.5752124	94625849.5752124
20241111.125837	1	45	20	-1	11074	95178198.9005497	95178198.9005497
