fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241115.204554	1	47	1	989753	11299	95175725.6371814	95175725.6371814
20241115.204558	1	47	1	609751	9737	98607936.5317341	98607936.5317341
20241115.204600	1	47	1	417511	10094	95647167.4162918	95647167.4162918
20241115.204603	1	47	1	243553	10963	98248365.3173413	98248365.3173413
20241115.204605	1	47	1	843131	11369	99170343.3283358	99170343.3283358
20241115.204608	1	47	1	577463	9881	96865023.988006	96865023.988006
20241115.204610	1	47	1	761977	11112	95446864.5677161	95446864.5677161
20241115.204613	1	47	1	649277	12364	97746012.9935032	97746012.9935032
20241115.204615	1	47	1	495413	10750	97359015.4922539	97359015.4922539
20241115.204618	1	47	1	244129	10621	98924164.4177911	98924164.4177911
20241115.204620	1	47	1	911089	11581	97597907.5462269	97597907.5462269
20241115.204623	1	47	1	257293	11690	97345512.2438781	97345512.2438781
20241115.204625	1	47	1	371587	12282	98655005.4972514	98655005.4972514
20241115.204628	1	47	1	457183	11754	97974413.7931034	97974413.7931034
20241115.204630	1	47	1	272227	13600	97038960.5197401	97038960.5197401
20241115.204633	1	47	1	980081	12915	97816989.0054972	97816989.0054972
20241115.204635	1	47	1	231919	11512	97379298.3508246	97379298.3508246
20241115.204638	1	47	1	254729	10207	97358956.021989	97358956.021989
20241115.204640	1	47	1	393013	9886	97090013.9930035	97090013.9930035
20241115.204643	1	47	1	974891	10262	98446159.92004	98446159.92004
20241115.204645	1	47	20	-1	11048	96984023.988006	96984023.988006
