fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.171359	1	44	1	989753	11676	99780763.6181909	99780763.6181909
20241114.171403	1	44	1	609751	14105	100950197.401299	100950197.401299
20241114.171405	1	44	1	417511	10421	98348772.113943	98348772.113943
20241114.171408	1	44	1	243553	11245	100377813.593203	100377813.593203
20241114.171410	1	44	1	843131	14576	97130978.5107446	97130978.5107446
20241114.171413	1	44	1	577463	12810	101750929.535232	101750929.535232
20241114.171416	1	44	1	761977	12476	100890408.795602	100890408.795602
20241114.171418	1	44	1	649277	13085	101013235.882059	101013235.882059
20241114.171421	1	44	1	495413	11404	99297557.2213893	99297557.2213893
20241114.171423	1	44	1	244129	11104	97547662.1689155	97547662.1689155
20241114.171426	1	44	1	911089	12155	102732451.274363	102732451.274363
20241114.171428	1	44	1	257293	14831	98488667.1664168	98488667.1664168
20241114.171431	1	44	1	371587	14673	97886261.3693153	97886261.3693153
20241114.171434	1	44	1	457183	12858	98957478.2608696	98957478.2608696
20241114.171436	1	44	1	272227	12718	102438307.846077	102438307.846077
20241114.171439	1	44	1	980081	14192	99760627.6861569	99760627.6861569
20241114.171441	1	44	1	231919	10934	99067617.1914043	99067617.1914043
20241114.171444	1	44	1	254729	11303	101258750.124938	101258750.124938
20241114.171446	1	44	1	393013	12188	99111366.3168416	99111366.3168416
20241114.171449	1	44	1	974891	14050	99921064.4677661	99921064.4677661
20241114.171451	1	44	20	-1	12983	99339588.7056472	99339588.7056472
