fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241115.053318	1	47	1	989753	12365	90752866.0669665	90752866.0669665
20241115.053322	1	47	1	609751	11518	90448542.7286357	90448542.7286357
20241115.053325	1	47	1	417511	9832	90827074.4627686	90827074.4627686
20241115.053327	1	47	1	243553	9549	90387844.5777112	90387844.5777112
20241115.053329	1	47	1	843131	13119	89464411.2943528	89464411.2943528
20241115.053332	1	47	1	577463	11228	90560101.9490255	90560101.9490255
20241115.053334	1	47	1	761977	9345	88904460.2698651	88904460.2698651
20241115.053337	1	47	1	649277	10687	91598596.2018991	91598596.2018991
20241115.053339	1	47	1	495413	11189	92894551.2243878	92894551.2243878
20241115.053342	1	47	1	244129	11652	89634520.7396302	89634520.7396302
20241115.053344	1	47	1	911089	11636	90690488.7556222	90690488.7556222
20241115.053347	1	47	1	257293	10314	90006517.7411294	90006517.7411294
20241115.053349	1	47	1	371587	10865	91918973.0134933	91918973.0134933
20241115.053352	1	47	1	457183	10532	93488193.9030485	93488193.9030485
20241115.053354	1	47	1	272227	12652	89988543.7281359	89988543.7281359
20241115.053357	1	47	1	980081	10619	90723291.854073	90723291.854073
20241115.053359	1	47	1	231919	10162	89543741.1294353	89543741.1294353
20241115.053401	1	47	1	254729	13176	91024851.5742129	91024851.5742129
20241115.053404	1	47	1	393013	11990	90070339.830085	90070339.830085
20241115.053406	1	47	1	974891	11869	91339648.6756622	91339648.6756622
20241115.053408	1	47	20	-1	11419	90087988.5057471	90087988.5057471
