fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.174406	1	44	1	989753	11880	98672783.6081959	98672783.6081959
20241114.174410	1	44	1	609751	11097	98341229.8850575	98341229.8850575
20241114.174413	1	44	1	417511	11129	99840468.2658671	99840468.2658671
20241114.174415	1	44	1	243553	10432	97975820.089955	97975820.089955
20241114.174418	1	44	1	843131	12335	99934760.11994	99934760.11994
20241114.174420	1	44	1	577463	11390	99154037.9810095	99154037.9810095
20241114.174423	1	44	1	761977	11847	98928971.0144928	98928971.0144928
20241114.174425	1	44	1	649277	12039	100160383.308346	100160383.308346
20241114.174428	1	44	1	495413	12898	97798717.6411794	97798717.6411794
20241114.174430	1	44	1	244129	13212	99739568.215892	99739568.215892
20241114.174433	1	44	1	911089	10939	98302462.2688656	98302462.2688656
20241114.174436	1	44	1	257293	11614	97653624.187906	97653624.187906
20241114.174438	1	44	1	371587	13968	97315154.4227886	97315154.4227886
20241114.174441	1	44	1	457183	11343	99326596.2018991	99326596.2018991
20241114.174443	1	44	1	272227	12150	99092328.8355822	99092328.8355822
20241114.174446	1	44	1	980081	12076	99342362.8185907	99342362.8185907
20241114.174449	1	44	1	231919	10475	99214750.1249375	99214750.1249375
20241114.174451	1	44	1	254729	12930	98491959.0204898	98491959.0204898
20241114.174454	1	44	1	393013	11896	100495036.481759	100495036.481759
20241114.174456	1	44	1	974891	11388	98622030.9845077	98622030.9845077
20241114.174458	1	44	20	-1	11715	98607782.6086957	98607782.6086957
