fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241118.023337	1	53	1	989753	12228	100013775.112444	100013775.112444
20241118.023340	1	53	1	609751	12034	101848516.741629	101848516.741629
20241118.023343	1	53	1	417511	14304	100822164.917541	100822164.917541
20241118.023346	1	53	1	243553	12481	102128072.463768	102128072.463768
20241118.023348	1	53	1	843131	13601	99550141.4292854	99550141.4292854
20241118.023351	1	53	1	577463	10592	99666174.9125437	99666174.9125437
20241118.023353	1	53	1	761977	12436	99706320.8395802	99706320.8395802
20241118.023356	1	53	1	649277	10707	100361224.887556	100361224.887556
20241118.023358	1	53	1	495413	13711	98883129.9350325	98883129.9350325
20241118.023401	1	53	1	244129	12454	99163889.0554723	99163889.0554723
20241118.023403	1	53	1	911089	11406	99101088.4557721	99101088.4557721
20241118.023406	1	53	1	257293	13270	100319515.242379	100319515.242379
20241118.023408	1	53	1	371587	14337	99102029.4852574	99102029.4852574
20241118.023411	1	53	1	457183	13890	98276046.9765117	98276046.9765117
20241118.023414	1	53	1	272227	13351	99004589.2053973	99004589.2053973
20241118.023416	1	53	1	980081	11880	101664207.896052	101664207.896052
20241118.023419	1	53	1	231919	11749	100538929.035482	100538929.035482
20241118.023422	1	53	1	254729	13142	100669648.175912	100669648.175912
20241118.023424	1	53	1	393013	12187	99975017.9910045	99975017.9910045
20241118.023427	1	53	1	974891	13182	100353266.366817	100353266.366817
20241118.023429	1	53	20	-1	12763	99530278.3608196	99530278.3608196
