fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.232407	1	37	1	989753	12056	97730018.9905047	97730018.9905047
20241114.232411	1	37	1	609751	11018	97758837.5812094	97758837.5812094
20241114.232414	1	37	1	417511	11817	97641159.92004	97641159.92004
20241114.232416	1	37	1	243553	12770	97926361.8190905	97926361.8190905
20241114.232419	1	37	1	843131	10227	97237006.9965017	97237006.9965017
20241114.232422	1	37	1	577463	13937	97666067.4662669	97666067.4662669
20241114.232424	1	37	1	761977	10631	98013184.9075462	98013184.9075462
20241114.232427	1	37	1	649277	10565	96915244.8775612	96915244.8775612
20241114.232430	1	37	1	495413	11483	97934222.3888056	97934222.3888056
20241114.232432	1	37	1	244129	11249	97181797.6011994	97181797.6011994
20241114.232435	1	37	1	911089	11299	99636695.1524238	99636695.1524238
20241114.232437	1	37	1	257293	11564	98066592.7036482	98066592.7036482
20241114.232440	1	37	1	371587	11836	98651108.4457771	98651108.4457771
20241114.232442	1	37	1	457183	13909	97692612.193903	97692612.193903
20241114.232445	1	37	1	272227	11784	101174368.815592	101174368.815592
20241114.232448	1	37	1	980081	12189	97996120.4397801	97996120.4397801
20241114.232450	1	37	1	231919	11389	98853891.5542229	98853891.5542229
20241114.232453	1	37	1	254729	12104	97331190.4047976	97331190.4047976
20241114.232456	1	37	1	393013	11781	100076488.255872	100076488.255872
20241114.232458	1	37	1	974891	14117	97769825.5872064	97769825.5872064
20241114.232500	1	37	20	-1	11335	97677121.9390305	97677121.9390305
