fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241115.012112	1	10	1	989753	10563	97678290.3548226	97678290.3548226
20241115.012116	1	10	1	609751	9339	98122792.103948	98122792.103948
20241115.012118	1	10	1	417511	9262	95300672.6636682	95300672.6636682
20241115.012121	1	10	1	243553	10161	95570671.1644178	95570671.1644178
20241115.012124	1	10	1	843131	12311	95967547.7261369	95967547.7261369
20241115.012126	1	10	1	577463	12113	98010099.4502749	98010099.4502749
20241115.012129	1	10	1	761977	9429	97637339.830085	97637339.830085
20241115.012131	1	10	1	649277	11471	98190056.4717641	98190056.4717641
20241115.012134	1	10	1	495413	10404	97917847.0764618	97917847.0764618
20241115.012136	1	10	1	244129	10739	96380383.3083458	96380383.3083458
20241115.012139	1	10	1	911089	9767	96131489.7551224	96131489.7551224
20241115.012141	1	10	1	257293	10869	95588064.4677661	95588064.4677661
20241115.012144	1	10	1	371587	10004	97067912.043978	97067912.043978
20241115.012146	1	10	1	457183	10419	95195455.7721139	95195455.7721139
20241115.012149	1	10	1	272227	10390	96910399.8001	96910399.8001
20241115.012152	1	10	1	980081	10404	97741815.0924538	97741815.0924538
20241115.012154	1	10	1	231919	12005	96582211.3943028	96582211.3943028
20241115.012157	1	10	1	254729	12720	95079380.3098451	95079380.3098451
20241115.012159	1	10	1	393013	9895	97675029.9850075	97675029.9850075
20241115.012202	1	10	1	974891	9963	96572003.4982509	96572003.4982509
20241115.012204	1	10	20	-1	10370	96407827.0864568	96407827.0864568
